Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Hamilton Canal Park,Colombo,61,Family,0.278,0.143,0.154,0.0,0.333,0.111,0.222,0.444
Hatton Siripada view point,Hatton,15,Wellness,0.278,0.0,0.077,0.077,0.333,0.0,0.0,0.0
Hiriketiya Beach,Matara,219,Wellness,0.5,0.071,0.154,0.769,0.778,0.556,0.333,0.778
Historical Mansion Meseum,Galle,109,Shopping,0.167,0.429,0.154,0.0,0.333,0.222,0.444,0.222
Horagolla National Park,Gampaha,166,Wellness,0.5,0.214,0.385,0.077,0.778,0.111,0.0,0.556
Horton plains national park,Hatton,1021,Nature,1.0,0.571,1.0,0.615,0.889,0.556,0.444,0.889
Hulangala mini world end entrance,Kurunagela,55,Adventure,0.333,0.0,0.462,0.0,0.333,0.111,0.0,0.111
Hulangala mini world's end view,Matale,242,Nature,0.833,0.143,0.615,0.077,0.667,0.333,0.0,0.222
Hummanaya Blow Hole,Matara,230,Family,0.611,0.214,0.615,0.308,0.556,0.333,0.444,0.778
Hunnasgiriya water falls,Matale,339,Family,0.833,0.071,0.538,0.615,0.778,0.444,0.333,0.889
Ibbagala rajamaha viharaya,Kurunagela,18,Wellness,0.278,0.286,0.077,0.0,0.333,0.0,0.0,0.0
Independence Square,Colombo,208,Wellness,0.5,0.571,0.231,0.462,1.0,0.444,0.333,1.0
Japanese Peace Pagoda - Rumassala,Galle,260,Wellness,0.833,0.643,0.538,0.154,1.0,0.556,0.222,0.333
Jodu ella water falls,Matale,91,Nature,0.778,0.071,0.385,0.0,0.333,0.111,0.222,0.111
"Jungle Beach, Unawatuna",Galle,230,Wellness,0.667,0.214,0.769,0.615,0.889,0.333,0.222,0.667
K & R Tours Hambantota,Hambantota,10,Nature,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadiyanlena eco resort,Hatton,416,Family,0.667,0.143,0.462,0.231,0.778,0.444,0.0,0.889
Kalutara Bodhiya,Kalutara,301,Wellness,0.611,0.857,0.154,0.0,1.0,0.222,0.333,0.333
Kande sudu ella water falls,Matale,14,Nature,0.278,0.0,0.0,0.0,0.111,0.0,0.0,0.111
Kathiresan Pillayar kovil,Colombo,178,Wellness,0.167,0.357,0.077,0.154,1.0,0.0,0.0,0.111
Katugas Ella Waterfall,Rathnapura,115,Wellness,0.556,0.143,0.154,0.0,0.667,0.333,0.0,0.667
Kayman's Gate,Colombo,28,Culture,0.056,0.357,0.077,0.0,0.0,0.111,0.222,0.0
Kelaniya Raja Maha Viharaya,Colombo,199,Wellness,0.278,0.786,0.077,0.0,1.0,0.333,0.333,0.0
Kiddies paradise children's park,Matale,58,Family,0.222,0.0,0.077,0.0,0.556,0.333,0.0,0.889
