Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
Hotel K nig von Ungarn,Room,1,10,102,113,90.27,0.88,0.894
Hotel K nig von Ungarn,Staff_Service,1,8,162,171,94.74,0.58,0.942
Hotel K nig von Ungarn,Value,1,3,10,14,71.43,7.14,0.643
Hotel K nig von Ungarn,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Kaiserin Elisabeth,Cleanliness,0,9,59,68,86.76,0.0,0.868
Hotel Kaiserin Elisabeth,Facilities,0,10,27,37,72.97,0.0,0.73
Hotel Kaiserin Elisabeth,Food,3,23,136,162,83.95,1.85,0.821
Hotel Kaiserin Elisabeth,Location,8,44,209,261,80.08,3.07,0.77
Hotel Kaiserin Elisabeth,Room,7,38,130,175,74.29,4.0,0.703
Hotel Kaiserin Elisabeth,Staff_Service,6,27,200,233,85.84,2.58,0.833
Hotel Kaiserin Elisabeth,Value,2,6,26,34,76.47,5.88,0.706
Hotel Kaiserin Elisabeth,Wellness,0,0,3,3,100.0,0.0,1.0
Hotel Kavalier,Cleanliness,7,45,33,85,38.82,8.24,0.306
Hotel Kavalier,Facilities,12,45,45,102,44.12,11.76,0.324
Hotel Kavalier,Food,24,69,91,184,49.46,13.04,0.364
Hotel Kavalier,Location,10,33,38,81,46.91,12.35,0.346
Hotel Kavalier,Room,25,56,60,141,42.55,17.73,0.248
Hotel Kavalier,Staff_Service,19,45,44,108,40.74,17.59,0.231
Hotel Kavalier,Value,5,25,28,58,48.28,8.62,0.397
Hotel Kavalier,Wellness,1,1,3,5,60.0,20.0,0.4
Hotel L Antoine,Cleanliness,0,4,25,29,86.21,0.0,0.862
Hotel L Antoine,Facilities,0,3,16,19,84.21,0.0,0.842
Hotel L Antoine,Food,1,3,25,29,86.21,3.45,0.828
Hotel L Antoine,Location,1,12,72,85,84.71,1.18,0.835
Hotel L Antoine,Room,5,16,88,109,80.73,4.59,0.761
Hotel L Antoine,Staff_Service,1,7,92,100,92.0,1.0,0.91
Hotel L Antoine,Value,2,1,7,10,70.0,20.0,0.5
Hotel La Lanterne,Cleanliness,1,4,14,19,73.68,5.26,0.684
Hotel La Lanterne,Facilities,0,0,7,7,100.0,0.0,1.0
Hotel La Lanterne,Food,1,5,22,28,78.57,3.57,0.75
Hotel La Lanterne,Location,1,9,42,52,80.77,1.92,0.788
Hotel La Lanterne,Room,4,7,38,49,77.55,8.16,0.694
Hotel La Lanterne,Staff_Service,4,7,41,52,78.85,7.69,0.712
Hotel La Lanterne,Value,1,6,4,11,36.36,9.09,0.273
Hotel La Lanterne,Wellness,1,9,33,43,76.74,2.33,0.744
Hotel La Place,Cleanliness,2,8,5,15,33.33,13.33,0.2
Hotel La Place,Facilities,4,8,8,20,40.0,20.0,0.2
Hotel La Place,Food,9,16,27,52,51.92,17.31,0.346
Hotel La Place,Location,7,20,30,57,52.63,12.28,0.404
Hotel La Place,Room,12,28,29,69,42.03,17.39,0.246
Hotel La Place,Staff_Service,7,20,47,74,63.51,9.46,0.541
Hotel La Place,Value,3,3,7,13,53.85,23.08,0.308
Hotel La Place,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel La Spezia Gruppo MiniHotel,Cleanliness,0,5,5,10,50.0,0.0,0.5
Hotel La Spezia Gruppo MiniHotel,Facilities,2,2,5,9,55.56,22.22,0.333
Hotel La Spezia Gruppo MiniHotel,Food,3,6,8,17,47.06,17.65,0.294
Hotel La Spezia Gruppo MiniHotel,Location,1,3,6,10,60.0,10.0,0.5
Hotel La Spezia Gruppo MiniHotel,Room,2,4,3,9,33.33,22.22,0.111
Hotel La Spezia Gruppo MiniHotel,Staff_Service,2,4,8,14,57.14,14.29,0.429
Hotel La Spezia Gruppo MiniHotel,Value,2,3,3,8,37.5,25.0,0.125
Hotel La Spezia Gruppo MiniHotel,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel La Villa Saint Germain Des Pr s,Cleanliness,1,0,4,5,80.0,20.0,0.6
Hotel La Villa Saint Germain Des Pr s,Facilities,1,1,0,2,0.0,50.0,-0.5
Hotel La Villa Saint Germain Des Pr s,Food,0,0,4,4,100.0,0.0,1.0
Hotel La Villa Saint Germain Des Pr s,Location,1,6,29,36,80.56,2.78,0.778
Hotel La Villa Saint Germain Des Pr s,Room,1,6,18,25,72.0,4.0,0.68
Hotel La Villa Saint Germain Des Pr s,Staff_Service,1,3,28,32,87.5,3.12,0.844
Hotel La Villa Saint Germain Des Pr s,Value,1,1,3,5,60.0,20.0,0.4
Hotel Lam e,Cleanliness,3,5,7,15,46.67,20.0,0.267
Hotel Lam e,Facilities,0,7,13,20,65.0,0.0,0.65
Hotel Lam e,Food,2,4,29,35,82.86,5.71,0.771
Hotel Lam e,Location,5,19,88,112,78.57,4.46,0.741
Hotel Lam e,Room,4,13,79,96,82.29,4.17,0.781
Hotel Lam e,Staff_Service,4,11,77,92,83.7,4.35,0.793
Hotel Lam e,Value,2,3,10,15,66.67,13.33,0.533
Hotel Lam e,Wellness,0,0,2,2,100.0,0.0,1.0
Hotel Landhaus Fuhrgassl Huber,Cleanliness,0,1,9,10,90.0,0.0,0.9
Hotel Landhaus Fuhrgassl Huber,Facilities,0,1,11,12,91.67,0.0,0.917
Hotel Landhaus Fuhrgassl Huber,Food,1,4,43,48,89.58,2.08,0.875
Hotel Landhaus Fuhrgassl Huber,Location,0,2,24,26,92.31,0.0,0.923
Hotel Landhaus Fuhrgassl Huber,Room,1,3,17,21,80.95,4.76,0.762
Hotel Landhaus Fuhrgassl Huber,Staff_Service,0,3,30,33,90.91,0.0,0.909
Hotel Landhaus Fuhrgassl Huber,Value,0,0,2,2,100.0,0.0,1.0
Hotel Landhaus Fuhrgassl Huber,Wellness,0,0,3,3,100.0,0.0,1.0
Hotel Le 10 BIS,Cleanliness,0,1,11,12,91.67,0.0,0.917
Hotel Le 10 BIS,Facilities,0,1,2,3,66.67,0.0,0.667
Hotel Le 10 BIS,Food,0,1,6,7,85.71,0.0,0.857
Hotel Le 10 BIS,Location,0,1,15,16,93.75,0.0,0.938
Hotel Le 10 BIS,Room,1,1,19,21,90.48,4.76,0.857
Hotel Le 10 BIS,Staff_Service,0,0,27,27,100.0,0.0,1.0
Hotel Le 10 BIS,Value,0,0,1,1,100.0,0.0,1.0
Hotel Le Chat Noir,Cleanliness,1,5,13,19,68.42,5.26,0.632
Hotel Le Chat Noir,Facilities,3,7,15,25,60.0,12.0,0.48
Hotel Le Chat Noir,Food,3,5,16,24,66.67,12.5,0.542
Hotel Le Chat Noir,Location,6,15,45,66,68.18,9.09,0.591
Hotel Le Chat Noir,Room,4,15,39,58,67.24,6.9,0.603
Hotel Le Chat Noir,Staff_Service,1,13,54,68,79.41,1.47,0.779
Hotel Le Chat Noir,Value,1,5,8,14,57.14,7.14,0.5
Hotel Le Mareuil,Cleanliness,1,2,7,10,70.0,10.0,0.6
Hotel Le Mareuil,Facilities,0,2,5,7,71.43,0.0,0.714
Hotel Le Mareuil,Food,0,2,10,12,83.33,0.0,0.833
Hotel Le Mareuil,Location,1,3,14,18,77.78,5.56,0.722
Hotel Le Mareuil,Room,0,2,23,25,92.0,0.0,0.92
Hotel Le Mareuil,Staff_Service,0,3,20,23,86.96,0.0,0.87
Hotel Le Mareuil,Value,0,0,4,4,100.0,0.0,1.0
Hotel Le Mareuil,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Le Pera,Cleanliness,0,1,3,4,75.0,0.0,0.75
Hotel Le Pera,Facilities,0,1,2,3,66.67,0.0,0.667
Hotel Le Pera,Food,1,2,3,6,50.0,16.67,0.333
Hotel Le Pera,Location,4,3,7,14,50.0,28.57,0.214
Hotel Le Pera,Room,3,3,8,14,57.14,21.43,0.357
Hotel Le Pera,Staff_Service,2,1,8,11,72.73,18.18,0.545
Hotel Le Pera,Value,0,0,4,4,100.0,0.0,1.0
Hotel Le Placide Saint Germain Des Pr s,Cleanliness,0,0,6,6,100.0,0.0,1.0
Hotel Le Placide Saint Germain Des Pr s,Facilities,2,0,4,6,66.67,33.33,0.333
Hotel Le Placide Saint Germain Des Pr s,Food,2,0,7,9,77.78,22.22,0.556
Hotel Le Placide Saint Germain Des Pr s,Location,3,2,12,17,70.59,17.65,0.529
Hotel Le Placide Saint Germain Des Pr s,Room,2,2,12,16,75.0,12.5,0.625
Hotel Le Placide Saint Germain Des Pr s,Staff_Service,0,1,10,11,90.91,0.0,0.909
Hotel Le Placide Saint Germain Des Pr s,Value,1,0,0,1,0.0,100.0,-1.0
Hotel Le Saint Gregoire,Cleanliness,0,0,5,5,100.0,0.0,1.0
Hotel Le Saint Gregoire,Facilities,0,0,1,1,100.0,0.0,1.0
Hotel Le Saint Gregoire,Food,0,1,6,7,85.71,0.0,0.857
Hotel Le Saint Gregoire,Location,1,2,5,8,62.5,12.5,0.5
Hotel Le Saint Gregoire,Room,1,3,7,11,63.64,9.09,0.545
Hotel Le Saint Gregoire,Staff_Service,0,1,8,9,88.89,0.0,0.889
Hotel Le Sainte Beuve,Cleanliness,1,2,2,5,40.0,20.0,0.2
Hotel Le Sainte Beuve,Facilities,1,1,3,5,60.0,20.0,0.4
Hotel Le Sainte Beuve,Food,1,2,6,9,66.67,11.11,0.556
Hotel Le Sainte Beuve,Location,0,2,21,23,91.3,0.0,0.913
Hotel Le Sainte Beuve,Room,1,4,11,16,68.75,6.25,0.625
Hotel Le Sainte Beuve,Staff_Service,1,1,27,29,93.1,3.45,0.897
Hotel Le Sainte Beuve,Value,0,0,5,5,100.0,0.0,1.0
Hotel Le Six,Cleanliness,1,1,5,7,71.43,14.29,0.571
Hotel Le Six,Facilities,1,0,7,8,87.5,12.5,0.75
Hotel Le Six,Food,1,1,12,14,85.71,7.14,0.786
Hotel Le Six,Location,0,1,24,25,96.0,0.0,0.96
Hotel Le Six,Room,1,3,20,24,83.33,4.17,0.792
Hotel Le Six,Staff_Service,1,2,50,53,94.34,1.89,0.925
Hotel Le Six,Value,1,0,6,7,85.71,14.29,0.714
Hotel Le Six,Wellness,0,1,1,2,50.0,0.0,0.5
Hotel Le Squara,Cleanliness,2,5,23,30,76.67,6.67,0.7
Hotel Le Squara,Facilities,2,6,6,14,42.86,14.29,0.286
Hotel Le Squara,Food,2,8,24,34,70.59,5.88,0.647
Hotel Le Squara,Location,7,14,41,62,66.13,11.29,0.548
Hotel Le Squara,Room,7,19,48,74,64.86,9.46,0.554
Hotel Le Squara,Staff_Service,7,9,34,50,68.0,14.0,0.54
Hotel Le Squara,Value,0,6,4,10,40.0,0.0,0.4
Hotel Le petit Paris,Cleanliness,0,4,8,12,66.67,0.0,0.667
Hotel Le petit Paris,Facilities,0,2,3,5,60.0,0.0,0.6
Hotel Le petit Paris,Food,0,3,9,12,75.0,0.0,0.75
Hotel Le petit Paris,Location,0,4,23,27,85.19,0.0,0.852
Hotel Le petit Paris,Room,2,6,16,24,66.67,8.33,0.583
Hotel Le petit Paris,Staff_Service,1,3,29,33,87.88,3.03,0.848
Hotel Le petit Paris,Value,1,0,4,5,80.0,20.0,0.6
Hotel Les Bains Paris,Cleanliness,0,1,1,2,50.0,0.0,0.5
Hotel Les Bains Paris,Food,1,0,6,7,85.71,14.29,0.714
Hotel Les Bains Paris,Location,0,2,8,10,80.0,0.0,0.8
Hotel Les Bains Paris,Room,0,3,14,17,82.35,0.0,0.824
Hotel Les Bains Paris,Staff_Service,0,2,18,20,90.0,0.0,0.9
Hotel Les Bains Paris,Value,0,1,1,2,50.0,0.0,0.5
Hotel Les Bains Paris,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Les Bulles De Paris,Cleanliness,2,9,27,38,71.05,5.26,0.658
Hotel Les Bulles De Paris,Facilities,2,9,10,21,47.62,9.52,0.381
Hotel Les Bulles De Paris,Food,5,12,21,38,55.26,13.16,0.421
Hotel Les Bulles De Paris,Location,8,20,54,82,65.85,9.76,0.561
Hotel Les Bulles De Paris,Room,14,32,52,98,53.06,14.29,0.388
Hotel Les Bulles De Paris,Staff_Service,6,15,57,78,73.08,7.69,0.654
Hotel Les Bulles De Paris,Value,4,10,9,23,39.13,17.39,0.217
Hotel Les Bulles De Paris,Wellness,3,5,4,12,33.33,25.0,0.083
Hotel Les Rives de Notre Dame,Cleanliness,2,2,7,11,63.64,18.18,0.455
Hotel Les Rives de Notre Dame,Facilities,0,1,9,10,90.0,0.0,0.9
Hotel Les Rives de Notre Dame,Food,2,2,6,10,60.0,20.0,0.4
Hotel Les Rives de Notre Dame,Location,3,7,42,52,80.77,5.77,0.75
Hotel Les Rives de Notre Dame,Room,3,5,25,33,75.76,9.09,0.667
Hotel Les Rives de Notre Dame,Staff_Service,4,8,39,51,76.47,7.84,0.686
Hotel Les Rives de Notre Dame,Value,2,2,5,9,55.56,22.22,0.333
Hotel Les Th tres,Cleanliness,1,2,13,16,81.25,6.25,0.75
Hotel Les Th tres,Facilities,1,5,12,18,66.67,5.56,0.611
Hotel Les Th tres,Food,0,6,26,32,81.25,0.0,0.812
Hotel Les Th tres,Location,3,15,41,59,69.49,5.08,0.644
Hotel Les Th tres,Room,5,20,50,75,66.67,6.67,0.6
Hotel Les Th tres,Staff_Service,2,10,49,61,80.33,3.28,0.77
Hotel Les Th tres,Value,0,3,11,14,78.57,0.0,0.786
Hotel Liberty,Cleanliness,16,5,1,22,4.55,72.73,-0.682
Hotel Liberty,Facilities,7,9,4,20,20.0,35.0,-0.15
Hotel Liberty,Food,13,12,4,29,13.79,44.83,-0.31
Hotel Liberty,Location,10,11,6,27,22.22,37.04,-0.148
Hotel Liberty,Room,20,13,5,38,13.16,52.63,-0.395
Hotel Liberty,Staff_Service,15,6,6,27,22.22,55.56,-0.333
Hotel Liberty,Value,2,3,1,6,16.67,33.33,-0.167
Hotel Lloyd,Cleanliness,2,15,15,32,46.88,6.25,0.406
Hotel Lloyd,Facilities,13,22,14,49,28.57,26.53,0.02
Hotel Lloyd,Food,18,35,31,84,36.9,21.43,0.155
Hotel Lloyd,Location,19,49,53,121,43.8,15.7,0.281
Hotel Lloyd,Room,16,31,22,69,31.88,23.19,0.087
Hotel Lloyd,Staff_Service,16,30,38,84,45.24,19.05,0.262
Hotel Lloyd,Value,5,12,7,24,29.17,20.83,0.083
Hotel Lombardia,Cleanliness,2,6,8,16,50.0,12.5,0.375
Hotel Lombardia,Facilities,2,9,3,14,21.43,14.29,0.071
Hotel Lombardia,Food,3,20,11,34,32.35,8.82,0.235
Hotel Lombardia,Location,1,11,6,18,33.33,5.56,0.278
Hotel Lombardia,Room,4,21,7,32,21.88,12.5,0.094
Hotel Lombardia,Staff_Service,3,14,11,28,39.29,10.71,0.286
Hotel Lombardia,Value,1,1,1,3,33.33,33.33,0.0
Hotel Louis 2,Cleanliness,1,3,5,9,55.56,11.11,0.444
Hotel Louis 2,Facilities,1,1,6,8,75.0,12.5,0.625
Hotel Louis 2,Food,0,2,7,9,77.78,0.0,0.778
Hotel Louis 2,Location,2,12,31,45,68.89,4.44,0.644
Hotel Louis 2,Room,2,9,15,26,57.69,7.69,0.5
Hotel Louis 2,Staff_Service,2,3,23,28,82.14,7.14,0.75
Hotel Louis 2,Value,0,1,2,3,66.67,0.0,0.667
Hotel Louis 2,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Louvre Montana,Cleanliness,1,1,11,13,84.62,7.69,0.769
Hotel Louvre Montana,Facilities,0,3,13,16,81.25,0.0,0.812
Hotel Louvre Montana,Food,0,2,9,11,81.82,0.0,0.818
Hotel Louvre Montana,Location,1,9,35,45,77.78,2.22,0.756
Hotel Louvre Montana,Room,1,7,22,30,73.33,3.33,0.7
Hotel Louvre Montana,Staff_Service,1,4,36,41,87.8,2.44,0.854
Hotel Louvre Montana,Value,0,2,5,7,71.43,0.0,0.714
Hotel Lumen Paris Louvre,Cleanliness,0,2,8,10,80.0,0.0,0.8
Hotel Lumen Paris Louvre,Facilities,1,5,10,16,62.5,6.25,0.562
Hotel Lumen Paris Louvre,Food,1,8,24,33,72.73,3.03,0.697
Hotel Lumen Paris Louvre,Location,0,12,28,40,70.0,0.0,0.7
Hotel Lumen Paris Louvre,Room,0,10,25,35,71.43,0.0,0.714
Hotel Lumen Paris Louvre,Staff_Service,0,7,26,33,78.79,0.0,0.788
Hotel Lumen Paris Louvre,Value,0,2,7,9,77.78,0.0,0.778
Hotel Lumen Paris Louvre,Wellness,1,0,4,5,80.0,20.0,0.6
Hotel Mademoiselle,Cleanliness,1,9,28,38,73.68,2.63,0.711
Hotel Mademoiselle,Facilities,3,11,19,33,57.58,9.09,0.485
Hotel Mademoiselle,Food,5,9,47,61,77.05,8.2,0.689
Hotel Mademoiselle,Location,2,26,59,87,67.82,2.3,0.655
Hotel Mademoiselle,Room,10,25,66,101,65.35,9.9,0.554
Hotel Mademoiselle,Staff_Service,8,19,80,107,74.77,7.48,0.673
Hotel Mademoiselle,Value,3,6,11,20,55.0,15.0,0.4
Hotel Mademoiselle,Wellness,2,3,18,23,78.26,8.7,0.696
Hotel Magna Pars Small Luxury Hotels of the World,Cleanliness,1,1,5,7,71.43,14.29,0.571
Hotel Magna Pars Small Luxury Hotels of the World,Facilities,0,2,6,8,75.0,0.0,0.75
Hotel Magna Pars Small Luxury Hotels of the World,Food,3,4,28,35,80.0,8.57,0.714
Hotel Magna Pars Small Luxury Hotels of the World,Location,4,1,20,25,80.0,16.0,0.64
Hotel Magna Pars Small Luxury Hotels of the World,Room,3,7,23,33,69.7,9.09,0.606
Hotel Magna Pars Small Luxury Hotels of the World,Staff_Service,3,8,37,48,77.08,6.25,0.708
Hotel Magna Pars Small Luxury Hotels of the World,Value,2,2,4,8,50.0,25.0,0.25
Hotel Magna Pars Small Luxury Hotels of the World,Wellness,0,2,2,4,50.0,0.0,0.5
Hotel Mailberger Hof,Cleanliness,0,5,17,22,77.27,0.0,0.773
Hotel Mailberger Hof,Facilities,5,13,43,61,70.49,8.2,0.623
Hotel Mailberger Hof,Food,10,31,137,178,76.97,5.62,0.713
Hotel Mailberger Hof,Location,12,46,169,227,74.45,5.29,0.692
Hotel Mailberger Hof,Room,15,37,94,146,64.38,10.27,0.541
Hotel Mailberger Hof,Staff_Service,7,23,121,151,80.13,4.64,0.755
Hotel Mailberger Hof,Value,3,9,24,36,66.67,8.33,0.583
Hotel Mailberger Hof,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Maison Ath n e,Cleanliness,0,0,5,5,100.0,0.0,1.0
Hotel Maison Ath n e,Facilities,1,2,7,10,70.0,10.0,0.6
Hotel Maison Ath n e,Food,0,0,17,17,100.0,0.0,1.0
Hotel Maison Ath n e,Location,1,7,37,45,82.22,2.22,0.8
Hotel Maison Ath n e,Room,3,8,39,50,78.0,6.0,0.72
Hotel Maison Ath n e,Staff_Service,2,6,49,57,85.96,3.51,0.825
Hotel Maison Ath n e,Value,0,0,4,4,100.0,0.0,1.0
Hotel Maison Ath n e,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Maison FL,Cleanliness,2,5,12,19,63.16,10.53,0.526
Hotel Maison FL,Facilities,2,1,9,12,75.0,16.67,0.583
Hotel Maison FL,Food,3,7,12,22,54.55,13.64,0.409
Hotel Maison FL,Location,2,14,33,49,67.35,4.08,0.633
Hotel Maison FL,Room,6,10,30,46,65.22,13.04,0.522
Hotel Maison FL,Staff_Service,3,7,47,57,82.46,5.26,0.772
Hotel Maison FL,Value,2,3,5,10,50.0,20.0,0.3
Hotel Maison FL,Wellness,0,1,0,1,0.0,0.0,0.0
Hotel Malte Astotel,Cleanliness,0,1,1,2,50.0,0.0,0.5
Hotel Malte Astotel,Facilities,0,0,3,3,100.0,0.0,1.0
Hotel Malte Astotel,Food,0,1,7,8,87.5,0.0,0.875
Hotel Malte Astotel,Location,0,1,8,9,88.89,0.0,0.889
Hotel Malte Astotel,Room,0,3,12,15,80.0,0.0,0.8
Hotel Malte Astotel,Staff_Service,0,2,9,11,81.82,0.0,0.818
Hotel Malte Astotel,Value,0,1,2,3,66.67,0.0,0.667
Hotel Manin,Cleanliness,1,11,24,36,66.67,2.78,0.639
Hotel Manin,Facilities,6,11,20,37,54.05,16.22,0.378
Hotel Manin,Food,12,27,70,109,64.22,11.01,0.532
Hotel Manin,Location,9,38,80,127,62.99,7.09,0.559
Hotel Manin,Room,17,38,48,103,46.6,16.5,0.301
Hotel Manin,Staff_Service,10,25,60,95,63.16,10.53,0.526
Hotel Manin,Value,7,7,12,26,46.15,26.92,0.192
Hotel Manin,Wellness,0,0,3,3,100.0,0.0,1.0
Hotel Manzoni,Cleanliness,0,8,25,33,75.76,0.0,0.758
Hotel Manzoni,Facilities,0,1,19,20,95.0,0.0,0.95
Hotel Manzoni,Food,1,4,35,40,87.5,2.5,0.85
Hotel Manzoni,Location,2,19,94,115,81.74,1.74,0.8
Hotel Manzoni,Room,1,16,51,68,75.0,1.47,0.735
Hotel Manzoni,Staff_Service,1,15,81,97,83.51,1.03,0.825
Hotel Manzoni,Value,2,2,21,25,84.0,8.0,0.76
Hotel Manzoni,Wellness,0,0,2,2,100.0,0.0,1.0
Hotel Marconi,Cleanliness,4,13,33,50,66.0,8.0,0.58
Hotel Marconi,Facilities,4,15,26,45,57.78,8.89,0.489
Hotel Marconi,Food,10,37,92,139,66.19,7.19,0.59
Hotel Marconi,Location,8,37,94,139,67.63,5.76,0.619
Hotel Marconi,Room,7,40,75,122,61.48,5.74,0.557
Hotel Marconi,Staff_Service,15,22,64,101,63.37,14.85,0.485
Hotel Marconi,Value,5,8,11,24,45.83,20.83,0.25
Hotel Marconi,Wellness,1,2,1,4,25.0,25.0,0.0
Hotel Margot House,Cleanliness,0,1,5,6,83.33,0.0,0.833
Hotel Margot House,Facilities,1,1,5,7,71.43,14.29,0.571
Hotel Margot House,Food,3,5,32,40,80.0,7.5,0.725
Hotel Margot House,Location,4,6,36,46,78.26,8.7,0.696
Hotel Margot House,Room,5,4,28,37,75.68,13.51,0.622
Hotel Margot House,Staff_Service,3,6,38,47,80.85,6.38,0.745
Hotel Margot House,Value,1,3,3,7,42.86,14.29,0.286
Hotel Margot House,Wellness,0,0,2,2,100.0,0.0,1.0
Hotel Marignan Champs Elys es,Cleanliness,2,3,10,15,66.67,13.33,0.533
Hotel Marignan Champs Elys es,Facilities,4,4,8,16,50.0,25.0,0.25
Hotel Marignan Champs Elys es,Food,8,13,25,46,54.35,17.39,0.37
Hotel Marignan Champs Elys es,Location,9,17,56,82,68.29,10.98,0.573
Hotel Marignan Champs Elys es,Room,11,17,38,66,57.58,16.67,0.409
Hotel Marignan Champs Elys es,Staff_Service,5,17,58,80,72.5,6.25,0.662
Hotel Marignan Champs Elys es,Value,3,3,8,14,57.14,21.43,0.357
Hotel Marignan Champs Elys es,Wellness,0,1,3,4,75.0,0.0,0.75
Hotel Mediolanum,Cleanliness,1,7,21,29,72.41,3.45,0.69
Hotel Mediolanum,Facilities,0,6,12,18,66.67,0.0,0.667
Hotel Mediolanum,Food,3,16,45,64,70.31,4.69,0.656
Hotel Mediolanum,Location,3,22,45,70,64.29,4.29,0.6
Hotel Mediolanum,Room,5,24,31,60,51.67,8.33,0.433
Hotel Mediolanum,Staff_Service,2,15,50,67,74.63,2.99,0.716
Hotel Mediolanum,Value,0,4,13,17,76.47,0.0,0.765
Hotel Mentana,Cleanliness,7,11,14,32,43.75,21.88,0.219
Hotel Mentana,Facilities,4,9,16,29,55.17,13.79,0.414
Hotel Mentana,Food,9,19,34,62,54.84,14.52,0.403
Hotel Mentana,Location,9,32,44,85,51.76,10.59,0.412
Hotel Mentana,Room,15,25,30,70,42.86,21.43,0.214
Hotel Mentana,Staff_Service,5,19,41,65,63.08,7.69,0.554
Hotel Mentana,Value,3,6,10,19,52.63,15.79,0.368
Hotel Mercure La Sorbonne Saint Germain des Pr s,Cleanliness,1,5,3,9,33.33,11.11,0.222
Hotel Mercure La Sorbonne Saint Germain des Pr s,Facilities,1,5,8,14,57.14,7.14,0.5
Hotel Mercure La Sorbonne Saint Germain des Pr s,Food,0,5,13,18,72.22,0.0,0.722
Hotel Mercure La Sorbonne Saint Germain des Pr s,Location,3,14,31,48,64.58,6.25,0.583
Hotel Mercure La Sorbonne Saint Germain des Pr s,Room,4,12,21,37,56.76,10.81,0.459
Hotel Mercure La Sorbonne Saint Germain des Pr s,Staff_Service,1,7,33,41,80.49,2.44,0.78
Hotel Mercure La Sorbonne Saint Germain des Pr s,Value,1,2,7,10,70.0,10.0,0.6
Hotel Mercure La Sorbonne Saint Germain des Pr s,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Mercure Milano Centro,Cleanliness,1,3,13,17,76.47,5.88,0.706
Hotel Mercure Milano Centro,Facilities,1,2,14,17,82.35,5.88,0.765
Hotel Mercure Milano Centro,Food,1,4,16,21,76.19,4.76,0.714
Hotel Mercure Milano Centro,Location,1,11,43,55,78.18,1.82,0.764
Hotel Mercure Milano Centro,Room,2,6,27,35,77.14,5.71,0.714
Hotel Mercure Milano Centro,Staff_Service,1,6,24,31,77.42,3.23,0.742
Hotel Mercure Milano Centro,Value,1,1,3,5,60.0,20.0,0.4
Hotel Mercure Milano Solari,Cleanliness,1,11,15,27,55.56,3.7,0.519
Hotel Mercure Milano Solari,Facilities,0,7,12,19,63.16,0.0,0.632
Hotel Mercure Milano Solari,Food,1,5,9,15,60.0,6.67,0.533
Hotel Mercure Milano Solari,Location,1,12,21,34,61.76,2.94,0.588
Hotel Mercure Milano Solari,Room,4,23,23,50,46.0,8.0,0.38
Hotel Mercure Milano Solari,Staff_Service,3,13,18,34,52.94,8.82,0.441
Hotel Mercure Milano Solari,Value,1,4,6,11,54.55,9.09,0.455
Hotel Mercure Milano Solari,Wellness,1,1,0,2,0.0,50.0,-0.5
Hotel Mercure Wien City,Cleanliness,0,12,19,31,61.29,0.0,0.613
Hotel Mercure Wien City,Facilities,0,10,13,23,56.52,0.0,0.565
Hotel Mercure Wien City,Food,1,10,22,33,66.67,3.03,0.636
Hotel Mercure Wien City,Location,2,18,41,61,67.21,3.28,0.639
Hotel Mercure Wien City,Room,2,26,40,68,58.82,2.94,0.559
Hotel Mercure Wien City,Staff_Service,3,14,37,54,68.52,5.56,0.63
Hotel Mercure Wien City,Value,0,7,7,14,50.0,0.0,0.5
Hotel Mercure Wien City,Wellness,1,0,0,1,0.0,100.0,-1.0
Hotel Mercure Wien Westbahnhof,Cleanliness,0,9,5,14,35.71,0.0,0.357
Hotel Mercure Wien Westbahnhof,Facilities,2,5,6,13,46.15,15.38,0.308
Hotel Mercure Wien Westbahnhof,Food,4,5,10,19,52.63,21.05,0.316
Hotel Mercure Wien Westbahnhof,Location,3,21,19,43,44.19,6.98,0.372
Hotel Mercure Wien Westbahnhof,Room,9,23,14,46,30.43,19.57,0.109
Hotel Mercure Wien Westbahnhof,Staff_Service,2,8,17,27,62.96,7.41,0.556
Hotel Mercure Wien Westbahnhof,Value,3,4,5,12,41.67,25.0,0.167
Hotel Mercure Wien Westbahnhof,Wellness,0,0,1,1,100.0,0.0,1.0
Hotel Michelangelo,Cleanliness,6,16,63,85,74.12,7.06,0.671
Hotel Michelangelo,Facilities,6,37,66,109,60.55,5.5,0.55
Hotel Michelangelo,Food,13,53,173,239,72.38,5.44,0.669
Hotel Michelangelo,Location,23,103,275,401,68.58,5.74,0.628
Hotel Michelangelo,Room,20,70,178,268,66.42,7.46,0.59
Hotel Michelangelo,Staff_Service,22,48,143,213,67.14,10.33,0.568
Hotel Michelangelo,Value,9,16,42,67,62.69,13.43,0.493
Hotel Michelangelo,Wellness,1,8,15,24,62.5,4.17,0.583
Hotel Midmost,Cleanliness,1,3,18,22,81.82,4.55,0.773
Hotel Midmost,Facilities,1,3,5,9,55.56,11.11,0.444
